Source.IP,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Most_usable_protocol
192.0.72.29,195000,1200,1500,46200,5400.0,VK
192.0.73.2,23000557800,6300,6000,998700,596100.0,OPENVPN
192.0.76.3,594259200,16800,15900,10268400,1279800.0,TWITTER
192.0.77.2,358500,3000,3600,96000,10800.0,APPLE
192.132.33.27,845305800,6000,8400,2405400,675900.0,GOOGLE_MAPS
192.150.19.174,917778900,28500,24300,24030300,1446600.0,TOR
192.150.19.183,110214900,1800,900,60300,135900.0,NTP
192.16.31.49,22732100400,3000,2100,430200,195900.0,GOOGLE
192.16.48.200,177996000,12300,12900,2210100,415500.0,MS_ONE_DRIVE
192.16.58.8,64012723800,6300,6600,1432800,363300.0,HTTP_DOWNLOAD
192.168.10.10,8157722175600,24477900,59874900,642104700,126417540300.0,OPENSIGNAL
192.168.10.100,142161384900,415800,424200,26585400,720540600.0,MSN
192.168.10.101,1556589916200,3540900,10156500,103358400,24092988000.0,NETFLIX
192.168.10.102,4831849853100,896100,3324300,80749200,2060220600.0,APPLE
192.168.10.103,1879496099400,4179600,14067000,93840000,31166828700.0,SSL_NO_CERT
192.168.10.104,10515420811500,5136300,15066300,1040326200,5040388200.0,UBUNTUONE
192.168.10.105,3257940529200,2337900,8873700,178142400,9679269900.0,VK
192.168.10.109,3913824300,2700,7500,209700,1362600.0,UPNP
192.168.10.11,5297453635500,3978600,17240100,587046300,16760076600.0,SKYPE
192.168.10.110,1362366205800,646200,3574200,81271200,5549232300.0,MSN
192.168.10.114,2107956030900,571200,1024500,37242300,1156630500.0,WHOIS_DAS
192.168.10.115,2314822298700,5307300,18162300,235602000,35738488500.0,GOOGLE
192.168.10.116,814280400,10500,56100,7059000,12179100.0,SPOTIFY
192.168.10.117,1297642257600,1151400,1441800,90977400,853166400.0,ORACLE
192.168.10.118,3385198395300,14339100,23969700,461886600,5994898200.0,MQTT
192.168.10.119,850332048600,176700,831300,20442300,320059200.0,APPLE_ICLOUD
192.168.10.12,96446512500,95100,469500,7999200,327306600.0,AMAZON
192.168.10.120,2322509883300,1189500,2283300,100939800,2139530100.0,EASYTAXI
192.168.10.121,1451049467400,286200,1253100,27645600,1018264200.0,EBAY
192.168.10.122,1299870232200,1186800,4929600,99865500,6567745500.0,UNENCRYPED_JABBER
192.168.10.123,829365022200,744900,2562000,25608000,5205081000.0,FTP_DATA
192.168.10.124,1147079395200,177000,241200,16425600,86485800.0,IMAP
192.168.10.125,18920812654200,44605500,60126600,1494901800,127770038700.0,WIKIPEDIA
192.168.10.126,1650149921100,1326900,8663700,40485300,20676447300.0,UPNP
192.168.10.127,2384627561400,599700,1542300,47142000,1161959100.0,MSN
192.168.10.128,1221625441200,698400,1248300,67172100,834916200.0,HTTP_DOWNLOAD
192.168.10.129,77480805300,48600,66300,5702100,20935200.0,NETFLIX
192.168.10.130,3117210442200,938700,3674400,99831300,3675594600.0,SPOTIFY
192.168.10.131,1687682646600,421500,620400,41899500,493620000.0,DEEZER
192.168.10.132,185394384900,31500,63000,3822000,6355800.0,WHOIS_DAS
192.168.10.133,522421226400,372600,489600,75467100,220287300.0,SKYPE
192.168.10.134,8415778029600,7279500,13463700,572678400,15799461300.0,OPENVPN
192.168.10.135,521287616100,621600,2301000,17788800,3841695300.0,SSH
192.168.10.136,1545442754100,222600,457200,129669900,147713100.0,SSL_NO_CERT
192.168.10.137,4514710199700,3967200,7126200,377039100,6837654900.0,OSCAR
192.168.10.139,2877936608400,2736900,2585400,123977400,5376823500.0,TWITCH
192.168.10.14,2121842372400,5281800,6521100,221913600,11506124400.0,OPENVPN
192.168.10.141,1554412167000,168300,316500,13764600,74271600.0,SIMET
192.168.10.143,1334797257600,801000,3040800,57364200,3837760500.0,UPNP
192.168.10.144,1607508544200,601800,3423000,46560000,3974808900.0,HTTP_DOWNLOAD
192.168.10.145,990789080400,283800,1377000,23399700,891374700.0,DEEZER
192.168.10.15,3500038858500,925500,3057000,79052700,2391439500.0,TelegramChat
192.168.10.16,8092386965400,4447500,29439000,335438400,37530805200.0,UNENCRYPED_JABBER
192.168.10.17,622792212900,849600,1669500,105417000,1138746300.0,CONTENT_FLASH
192.168.10.18,89446011600,113400,404400,14160300,182754900.0,DNS
192.168.10.19,780720977100,347700,738900,82802700,164786100.0,STARCRAFT
192.168.10.2,2301173329800,16516800,22543800,279175500,51939531300.0,EDONKEY
192.168.10.20,6186169576500,17838600,30795600,440420100,60159172500.0,MAIL_IMAPS
192.168.10.21,57546629400,21000,34200,2128800,16023600.0,BitTorrent
192.168.10.22,268742444100,670500,1796100,78294000,832724100.0,INSTAGRAM
192.168.10.23,152841196200,57000,306000,8368800,51739800.0,APPLE_ICLOUD
192.168.10.24,3768964056900,3805200,5858400,520391100,3976560300.0,EDONKEY
192.168.10.249,4956370939200,5259600,7474200,469161900,9089502900.0,TelegramChat
192.168.10.25,70931325300,7500,33300,294300,1313700.0,FTP_DATA
192.168.10.26,3384909260400,2181900,5414400,330780000,4447059600.0,DNS
192.168.10.27,1801321936200,3922800,9340200,135439500,16046047800.0,YOUTUBE
192.168.10.28,3521705330700,12924600,33681300,174895500,56972874000.0,UBUNTUONE
192.168.10.3,3272141700,70200,82500,23601600,4140900.0,DNS
192.168.10.30,4715417124600,6319500,10595100,369084300,14072989800.0,NFS
192.168.10.31,1480297927800,4206600,4624500,75860400,10119962700.0,GOOGLE
192.168.10.33,889927545000,300300,643200,25159500,78794100.0,UBUNTUONE
192.168.10.34,4075897166700,1767000,5278800,612410400,3365792100.0,APPLE_ITUNES
192.168.10.35,3594237600,101700,236700,86252400,267457200.0,ORACLE
192.168.10.37,17846505022200,15834000,48029100,900348000,65940474900.0,EBAY
192.168.10.38,5745167369400,14711700,27189900,533277000,56853988800.0,POP3
192.168.10.39,3530348484900,12466200,23681700,1569755400,23201206800.0,SSL_NO_CERT
192.168.10.4,6255114418200,5682000,14069400,1092994800,12122732400.0,GMAIL
192.168.10.40,10250586552300,5789700,7978500,1428084300,7427994600.0,GOOGLE
192.168.10.41,1524495360600,4383600,8406000,142899900,13917748200.0,GMAIL
192.168.10.42,2493217472100,9933300,20890800,194913600,45347362800.0,WINDOWS_UPDATE
192.168.10.44,62958126900,600,4800,3600,79200.0,TOR
192.168.10.45,5645064105300,5162100,24702300,728476200,35424402900.0,AMAZON
192.168.10.46,31075800600,7800,10800,303300,18615300.0,APPLE
192.168.10.47,8567451836400,4567800,18480600,384622800,35029548000.0,SSL
192.168.10.48,1490087357100,2153700,9101400,86976600,18721590000.0,DEEZER
192.168.10.49,128793684600,6348300,17929500,132916800,47044715400.0,ORACLE
192.168.10.5,2349940185900,1125900,2297100,51561600,2452824000.0,WIKIPEDIA
192.168.10.50,1412261700,20400,24000,654000,42729000.0,HTTP_CONNECT
192.168.10.55,3874191533400,3692400,5704500,311153100,9727138500.0,TWITCH
192.168.10.56,287781209100,399600,694200,48494100,312176100.0,INSTAGRAM
192.168.10.57,4494990825000,2638200,3270600,473788500,2382141900.0,GMAIL
192.168.10.58,4740467336100,5594700,9087300,432174600,14268668100.0,MICROSOFT
192.168.10.59,11952724026300,4089900,17130600,509365500,14968825500.0,OSCAR
192.168.10.6,1413859725300,2756100,4879800,271678500,5988578400.0,OPENSIGNAL
192.168.10.61,6686367900300,5373600,14869500,2659731600,17508692100.0,MAIL_IMAPS
192.168.10.62,8764985414400,29545800,48388500,777139200,103296796500.0,MSN
192.168.10.63,4368678676200,1483500,5208900,224375400,4800727800.0,IP_ICMP
192.168.10.65,14736841248600,14997900,32582100,3699263100,25709622900.0,ORACLE
192.168.10.66,10655040405900,7229100,20866200,437099400,43002240300.0,APPLE_ITUNES
192.168.10.67,727411086900,11947500,35685600,332732100,80801563200.0,OSCAR
192.168.10.68,385938000,3300,4500,389400,1663200.0,FACEBOOK
192.168.10.69,1084497298500,136500,326100,10157100,31250100.0,FACEBOOK
192.168.10.70,1099297735800,220200,424200,23914200,37362300.0,GMAIL
192.168.10.74,2828580408000,332700,554400,55739400,120413400.0,SIMET
192.168.10.75,136024786500,921000,927300,31779600,1936998000.0,IP_ICMP
192.168.10.76,3145213806900,9422700,16071900,274064700,4916124600.0,NetBIOS
192.168.10.78,1862827640100,3125700,11763600,164772300,19043527200.0,OFFICE_365
192.168.10.8,7044489479700,4683600,13535400,243294000,20169576600.0,POP3
192.168.10.80,7401839592900,5348100,20084100,1255457100,13641936600.0,EDONKEY
192.168.10.81,1521602045400,606900,1109100,183892500,735140100.0,DEEZER
192.168.10.82,2501257976400,4140300,12407700,93963900,26538674100.0,SSL
192.168.10.83,3281565156300,838500,1647300,53728200,1733962800.0,WIKIPEDIA
192.168.10.86,28852997100,85500,164700,9880200,267705600.0,YAHOO
192.168.10.88,1108601018400,408600,636900,32089500,411161400.0,BitTorrent
192.168.10.89,3666267239700,5526600,14910900,612057000,17668923300.0,OFFICE_365
192.168.10.9,8000783735700,4158900,10862400,618599100,8387906400.0,MS_ONE_DRIVE
192.168.10.91,8014989130200,52680000,76056900,851406600,188851630800.0,INSTAGRAM
192.168.10.93,3908511233400,1183800,4085400,344956500,1668920700.0,STARCRAFT
192.168.10.94,11156472558000,3324300,7691100,386336400,9261098400.0,TelegramChat
192.168.10.95,6271733872500,7884000,11175000,216236700,19106851500.0,MQTT
192.168.10.96,1328982625800,428100,2296200,33612300,3023859600.0,CITRIX
192.168.10.97,504673800,13800,28800,1778400,7052100.0,HTTP_DOWNLOAD
192.168.10.98,75027538200,3157500,2974200,41252100,8356306500.0,NFS
192.168.10.99,2023310334300,1196100,2539200,180532200,2575099800.0,GOOGLE_MAPS
192.168.102.10,1949608800,21000,14700,765300,18154200.0,TelegramChat
192.168.102.13,2024655895500,946200,936300,95310000,1115486700.0,POP3
192.168.102.14,2090425469400,3638100,2836800,113319300,8667099000.0,NetBIOS
192.168.102.15,870199800,21000,20100,603000,50443200.0,APPLE_ITUNES
192.168.102.19,502097236500,1544700,348000,187146300,547278600.0,SSL
192.168.102.25,627051477000,433800,0,90637500,0.0,BitTorrent
192.168.102.27,332655900,5700,5400,3216300,1795200.0,NTP
192.168.102.29,4259556933900,12318600,11513700,235616100,32807666400.0,IP_ICMP
192.168.102.3,3880334896500,3858600,1123800,243736500,912836700.0,UPNP
192.168.102.30,2089764000,51900,38700,1263600,103489800.0,CLOUDFLARE
192.168.102.31,244691823300,21900,13800,3665400,2498100.0,YAHOO
192.168.102.34,4010400,900,600,132900,1800.0,APPLE_ICLOUD
192.168.102.36,74607582000,571800,596400,61353000,664922700.0,DNS
192.168.102.6,4099887600,105600,63600,3024900,144208200.0,OPENSIGNAL
192.168.102.9,1655749777800,2364000,3185700,76176000,6817357800.0,SSL_NO_CERT
192.168.110.10,144414246600,85200,81000,10281600,59116500.0,IP_ICMP
192.168.110.11,325749568500,140100,0,19006800,0.0,SKYPE
192.168.110.12,406565347500,106500,114000,9527100,165332400.0,SSH
192.168.110.13,316222681200,234900,0,25546500,0.0,MAIL_IMAPS
192.168.110.15,834632414400,344700,3300,38089500,772800.0,UBUNTUONE
192.168.110.16,153622576200,99000,105300,19706100,163622100.0,NFS
192.168.110.17,50062734600,114300,132900,11083500,244159800.0,DROPBOX
192.168.110.18,109542381900,93900,104700,7830600,154015500.0,UBUNTUONE
192.168.110.19,181215042900,177300,0,18680100,0.0,TWITTER
192.168.110.20,72514945800,54900,62700,3908700,92487600.0,OFFICE_365
192.168.110.21,290269927200,273000,0,20037300,0.0,GOOGLE
192.168.110.22,1650491100,12600,23400,876600,57456900.0,CITRIX
192.168.110.23,208856223600,106800,99300,13229100,74870100.0,VK
192.168.110.24,88801524000,85500,101700,7917900,182306400.0,TWITCH
192.168.110.26,231346159500,87600,118800,16344900,206620500.0,EBAY
192.168.110.27,493297800,6300,4800,318900,1886100.0,UBUNTUONE
192.168.110.28,1370423010900,504000,78600,48487200,41701500.0,HTTP_CONNECT
192.168.110.29,1437804037800,900300,705000,102618000,1014459900.0,ORACLE
192.168.110.3,149325415800,83400,77100,8881200,58898400.0,TelegramChat
192.168.110.30,1124126700,7200,13200,315600,27622200.0,EASYTAXI
192.168.110.31,139981964700,99600,114900,8031000,223943100.0,GOOGLE_MAPS
192.168.110.32,2761812900,31800,46500,946500,136036800.0,GOOGLE
192.168.110.33,90506310300,33600,0,1947300,0.0,GOOGLE_MAPS
192.168.110.34,56000967300,48600,0,2279100,0.0,IP_ICMP
192.168.110.35,133133858700,134400,143700,22662600,165983100.0,OSCAR
192.168.110.5,332033250300,955200,13500,37961100,25299000.0,FTP_DATA
192.168.110.8,164947041000,86100,86700,15111600,123119400.0,POP3
192.168.110.9,193086928500,108300,104100,17391000,98092800.0,MAIL_IMAPS
192.168.112.13,2437322465100,1186500,1119300,66305100,2178672600.0,TWITCH
192.168.112.14,7838122195200,7195800,9636600,1382632800,15980793900.0,EDONKEY
192.168.112.15,3791417686500,1491900,1019400,133523100,702797400.0,ORACLE
192.168.112.202,3068331508500,32313900,34243200,6732002700,2281228500.0,TWITTER
192.168.112.4,1588647427500,6332100,2781300,179748000,3394440900.0,MSN
192.168.112.5,6214367649900,1724700,1483200,197714700,1003440300.0,ORACLE
192.168.112.6,1240156180500,435300,665400,37149900,1271003400.0,SIMET
192.168.112.9,1036711663200,658500,69300,123585900,11053200.0,GOOGLE
192.168.120.105,8633741100,11100,9600,280800,22245900.0,HTTP
192.168.120.17,860151000,10500,8100,653100,810900.0,IMAP
192.168.120.25,106140600,1500,1200,67500,115200.0,SIMET
192.168.120.30,1449229200,6900,5700,479400,4772400.0,APPLE_ICLOUD
192.168.120.43,4064391300,28800,52200,1602600,126205200.0,TOR
192.168.120.6,135029100,2700,2100,106500,2700900.0,WHOIS_DAS
192.168.120.81,3601736100,71100,38700,1200000,94778400.0,UPNP
192.168.120.93,4136628600,4800,3000,205800,1893000.0,DROPBOX
192.168.121.119,999610200,10500,9000,2722200,865500.0,APPLE
192.168.121.125,5091707700,48900,43800,5347800,9327600.0,DROPBOX
192.168.121.134,2661814800,28500,38700,4104900,96527700.0,TelegramChat
192.168.121.136,651630000,9300,7800,5034600,3963900.0,MICROSOFT
192.168.121.140,107147100,3000,2700,135000,228000.0,SSL
192.168.121.142,5146851600,4200,6000,152100,3122400.0,AMAZON
192.168.121.15,855071700,11100,18600,598200,38729700.0,TWITCH
192.168.121.213,2313728700,81600,70500,62582700,93432900.0,CONTENT_FLASH
192.168.121.22,128193600,1500,1200,130800,130800.0,YAHOO
192.168.121.229,109340700,2400,2700,183000,228600.0,BitTorrent
192.168.121.28,274030140000,108900,130800,18516600,80131500.0,MS_ONE_DRIVE
192.168.121.43,104382900,1500,1200,93300,115500.0,TelegramChat
192.168.121.45,1038614700,9300,9900,3294300,17352600.0,MSN
192.168.121.58,2599019700,31500,24900,1959300,2359500.0,MSN
192.168.121.68,106579800,1500,1200,99300,233700.0,MQTT
192.168.121.70,4730857800,18300,29400,753900,63664500.0,TelegramChat
192.168.121.76,52586114700,56700,72900,3570600,145303800.0,AMAZON
192.168.121.77,2320593600,34200,32400,9226800,5474100.0,MS_ONE_DRIVE
192.168.121.81,4448058300,55800,83400,9246300,193783800.0,TEAMVIEWER
192.168.121.84,108004200,1500,1200,99300,462900.0,EBAY
192.168.121.88,6662963700,14400,12000,2783400,788100.0,HTTP_DOWNLOAD
192.168.121.95,14754800700,16500,26700,2733600,80112900.0,BitTorrent
192.168.121.97,422915544300,92400,103800,6717000,9925200.0,CLOUDFLARE
192.168.122.11,103754700,3000,2400,198600,857100.0,GOOGLE
192.168.122.12,1082115600,6000,7200,788400,6952200.0,SSL_NO_CERT
192.168.122.13,7112573400,36000,29700,24379200,24148200.0,INSTAGRAM
192.168.122.17,2237440200,24300,25800,4511100,36895200.0,YOUTUBE
192.168.122.19,5470646700,6600,4500,268500,2432700.0,APPLE_ITUNES
192.168.122.20,649378741800,318000,271200,63369600,207104400.0,HTTP_DOWNLOAD
192.168.122.23,1231707000,17100,18600,724500,42712500.0,HTTP_PROXY
192.168.122.26,963561000,600,1200,0,0.0,TEAMVIEWER
192.168.122.31,376784100,11100,9300,10469700,5594100.0,APPLE_ICLOUD
192.168.122.32,3309654000,35700,30600,744000,90177000.0,SKYPE
192.168.122.34,105409500,1500,1200,73800,115500.0,SIMET
192.168.122.36,1327067400,14400,15000,708300,45283800.0,FTP_DATA
192.168.122.39,5985340200,66300,91800,3314700,264395400.0,INSTAGRAM
192.168.122.4,120532200,1500,1200,591000,330900.0,OSCAR
192.168.122.40,1696811700,27600,27600,9211200,3069900.0,MICROSOFT
192.168.122.43,121264200,2100,3000,102900,2885100.0,DEEZER
192.168.122.44,5709804000,66300,62700,5694900,108019800.0,GOOGLE_MAPS
192.168.122.48,456596100,2700,2700,196800,744600.0,SPOTIFY
192.168.122.55,1797483600,36000,33900,3166200,14274300.0,SSL_NO_CERT
192.168.122.61,125031600,1500,1200,332400,252900.0,NetBIOS
192.168.122.63,366766403100,35100,31800,12208500,2367000.0,APPLE_ITUNES
192.168.122.66,2209865700,19500,16800,648600,34083000.0,HTTP_DOWNLOAD
192.168.122.67,1568079900,40500,58800,1152300,124201800.0,GOOGLE_MAPS
192.168.122.68,1929552348600,3104100,2633400,183967500,4631685000.0,TOR
192.168.122.69,3279584400,19200,14700,624000,19293600.0,UNENCRYPED_JABBER
192.168.122.7,2183875200,19800,15300,1296000,9767100.0,UBUNTUONE
192.168.122.72,4043647200,20100,38400,1368900,96987900.0,GMAIL
192.168.122.74,3531624900,51600,38100,2829900,77367300.0,AMAZON
192.168.122.75,3317510400,5100,4200,153900,5935200.0,YAHOO
192.168.122.88,2101631100,47400,31200,1820700,61229400.0,YOUTUBE
192.168.125.105,1466319000,17700,21900,492900,49038900.0,OPENSIGNAL
192.168.125.108,1714260600,45900,48600,1139100,114877500.0,DNS
192.168.125.109,27947501700,24900,32700,3167100,55419300.0,SSH
192.168.125.11,508022400,1500,1500,67500,112200.0,TEAMVIEWER
192.168.125.111,3047495400,6000,11700,163500,26668800.0,HTTP_PROXY
192.168.125.113,107599200,1500,1200,67500,115200.0,OFFICE_365
192.168.125.118,7943747100,12000,19800,1368900,24004200.0,GOOGLE_MAPS
192.168.125.12,1325508000,9600,9900,275400,19767900.0,OSCAR
192.168.125.123,4227686400,12900,25200,926700,49983600.0,STARCRAFT
192.168.125.124,2124894900,11400,25500,782100,54530700.0,TOR
192.168.125.126,2492234700,24000,56700,855300,166248000.0,SSL_NO_CERT
192.168.125.133,2815443000,19500,24600,552600,53958000.0,TWITCH
192.168.125.16,3502316700,8100,11400,262800,25419900.0,CONTENT_FLASH
192.168.125.164,130788900,1500,1500,99300,1173300.0,APPLE_ICLOUD
192.168.125.166,6636902100,18600,17400,4616100,4451700.0,HTTP_DOWNLOAD
192.168.125.17,45762831900,61500,84300,4279800,164978100.0,OSCAR
192.168.125.216,1513914900,5700,9900,159900,22716900.0,FTP_DATA
192.168.125.24,210750000,3000,2400,162900,464400.0,INSTAGRAM
192.168.125.251,1092764400,12900,18000,569700,40506300.0,MSN
192.168.125.28,111134100,3000,2700,135000,229200.0,CLOUDFLARE
192.168.125.32,939561900,12000,12900,511500,21099000.0,SIMET
192.168.125.48,996258300,14400,17700,766800,51337500.0,NFS
192.168.125.7,125778600,1500,1500,99300,510600.0,SPOTIFY
192.168.125.70,124128600,1500,1200,99300,232500.0,EBAY
192.168.125.75,389362800,5700,4800,2090100,287400.0,NFS
192.168.125.76,748806000,28200,17700,604800,41305200.0,INSTAGRAM
192.168.125.78,2661132300,37800,36600,4407000,45159000.0,DNS
192.168.125.81,2058810600,13200,17400,483000,53753400.0,CLOUDFLARE
192.168.125.87,176776999500,132300,116400,32400600,84698100.0,OPENVPN
192.168.125.99,1357482600,10500,16200,318000,41837100.0,SKYPE
192.168.127.11,4128197100,34200,55800,3614100,166682100.0,SSL
192.168.127.12,11626029300,115500,109500,26594700,51651900.0,FACEBOOK
192.168.127.13,4881855000,15900,15600,3581700,6871800.0,CLOUDFLARE
192.168.127.15,7699432500,11400,5700,2732700,4918200.0,OPENSIGNAL
192.168.127.18,1288676700,22800,46800,910200,108795000.0,NTP
192.168.127.19,126098700,1200,1200,97500,299400.0,FTP_DATA
192.168.127.20,1414169400,2100,2700,140100,2747700.0,OSCAR
192.168.127.25,122626200,1500,900,99300,74400.0,APPLE_ITUNES
192.168.127.26,160746000,2400,1800,1239900,666900.0,EASYTAXI
192.168.127.31,5484383100,39600,65400,2063700,131374200.0,APPLE_ITUNES
192.168.127.32,2249747400,13500,17700,5217600,26435700.0,HTTP_PROXY
192.168.127.4,107713724400,993600,814800,77754000,87703800.0,DEEZER
192.168.127.40,7514785800,81300,99600,23306400,115120200.0,OFFICE_365
192.168.127.47,1333847400,20400,22800,690000,49609500.0,TEAMVIEWER
192.168.127.54,110067000,3000,2700,274800,255000.0,GOOGLE_MAPS
192.168.127.58,8329848000,34200,38700,5063400,55806600.0,EASYTAXI
192.168.127.59,1880329500,37500,39600,1226400,104508300.0,WHOIS_DAS
192.168.127.61,1999833300,43500,61500,2056200,138468900.0,SSH
192.168.127.65,1717642500,25200,21300,3564900,2168400.0,SSH
192.168.127.66,12245760900,7800,10200,1193100,4051800.0,OPENVPN
192.168.127.69,16311599100,156000,136500,9660600,43743900.0,AMAZON
192.168.127.7,2601322800,203400,184500,2931600,361510800.0,EBAY
192.168.127.75,1943802300,11700,26100,456900,75088200.0,SKINNY
192.168.127.78,3613843800,33000,25500,1200600,26980200.0,NETFLIX
192.168.127.81,849619800,10500,9600,2588700,624300.0,CLOUDFLARE
192.168.127.82,4810066500,14700,22500,515400,58494900.0,UBUNTUONE
192.168.128.85,107079900,1500,1500,63600,616800.0,TWITTER
192.168.130.11,4896018230700,1425300,2349900,176343000,2063708100.0,TWITCH
192.168.130.12,9930348704400,8968200,30562500,566296800,64870889700.0,AMAZON
192.168.130.14,494471491500,115200,177600,11006100,104170200.0,UPNP
192.168.130.16,9581193574800,3491100,15916200,253397400,20212182900.0,IP_ICMP
192.168.130.19,820805604900,1326000,1250100,41622900,1979748300.0,HTTP_PROXY
192.168.130.2,3386721360000,3760800,14125500,309878700,15252270300.0,OPENSIGNAL
192.168.130.22,1336700263800,7434300,7631700,301419300,13042942500.0,NTP
192.168.130.245,210929131200,3900300,6323100,243409200,5993430900.0,APPLE
192.168.130.25,1805174507400,5841900,20151900,221610900,49119432900.0,VK
192.168.130.26,5060733846900,3882900,12465000,162142500,14963739600.0,SPOTIFY
192.168.130.27,4665962043300,1722600,4149900,312227100,3191484300.0,SPOTIFY
192.168.130.3,2998570200,29700,60300,3308700,125600400.0,MS_ONE_DRIVE
192.168.130.30,322110450900,313200,752700,36329400,777930600.0,WAZE
192.168.130.32,1118660200200,96000,426300,11037300,107506200.0,FACEBOOK
192.168.130.33,2252574412800,888300,1999800,59213100,1861782900.0,DNS
192.168.130.38,1819214747100,1376400,2756400,160721700,2038013400.0,CONTENT_FLASH
192.168.130.39,799688488200,1539000,4648500,101337600,5844271800.0,SIMET
192.168.130.41,13207912622700,8029200,17865000,1465557600,15339294900.0,IP_ICMP
192.168.130.5,5257467214200,1988400,5250000,159913800,4990598100.0,CITRIX
192.168.130.50,544764945000,240600,468600,30055500,647705700.0,ORACLE
192.168.130.51,731630761500,874200,3348900,83846100,4692235200.0,GOOGLE_MAPS
192.168.130.52,2515536900,30300,125400,5125500,43205100.0,ORACLE
192.168.130.53,2469741300,21600,51600,1230300,124740900.0,GMAIL
192.168.130.54,424014395100,910800,4152300,95870100,5198703000.0,CLOUDFLARE
192.168.130.59,1918147725300,209100,577500,28836600,146483700.0,BitTorrent
192.168.130.6,4173616800,36900,285900,2688900,527304900.0,HTTP_DOWNLOAD
192.168.130.61,65644776300,59100,104100,2452800,37467600.0,YAHOO
192.168.130.62,288625031100,117000,243600,13009800,136174500.0,EASYTAXI
192.168.130.65,20909988300,232500,196500,6405300,452347500.0,NTP
192.168.130.67,1816450531200,1501800,8382900,92801400,11391777300.0,MS_ONE_DRIVE
192.168.130.7,90958994700,117900,373500,12552600,343192800.0,HTTP_DOWNLOAD
192.168.130.71,115836600,6000,11100,423000,3255300.0,INSTAGRAM
192.168.130.73,164678970300,165900,281400,19121400,316989000.0,DEEZER
192.168.130.74,2640283853100,2739900,8724300,257357700,9781831800.0,TOR
192.168.130.84,4386083826000,4794300,6583500,141651600,12856272900.0,HTTP
192.168.130.9,899839393200,226800,841800,15799500,564812400.0,OSCAR
192.168.130.93,7182221688300,3091200,9932100,374052900,12832533900.0,NFS
192.168.130.95,4460484900,17100,36300,14142600,44861400.0,OSCAR
192.168.131.10,10300598645700,14744400,25320000,447698100,42729398700.0,NFS
192.168.131.12,2558661449700,1067400,2331900,117570600,2494110900.0,NFS
192.168.131.15,4196314721700,4167900,19231200,260801100,40410966600.0,NFS
192.168.131.16,335508492600,176700,239100,20328900,70583100.0,SKYPE
192.168.131.17,3322469375100,23689800,35365200,470531100,88135511400.0,EDONKEY
192.168.131.18,8232612900,438900,3024900,6189600,5648533200.0,BitTorrent
192.168.131.19,4259482029300,6166800,12480600,981640800,10748754300.0,SSH
192.168.131.2,4481558408100,8124600,9198300,330677700,15697244700.0,SKINNY
192.168.131.24,4669381240500,1719300,4934400,228804600,6095475300.0,IP_ICMP
192.168.131.249,4591770253500,1478400,4041000,105701100,244859700.0,MSN
192.168.131.25,96817474200,104400,511800,9857700,431784300.0,EASYTAXI
192.168.131.26,1953375009900,2446200,10396500,349608900,9724077600.0,DROPBOX
192.168.131.28,84029527200,117900,216600,16246800,151281600.0,GMAIL
192.168.131.29,6775219762500,22340700,45232200,348237300,30120137100.0,TOR
192.168.131.3,13831894940700,12886500,37610700,920115300,82512836700.0,DEEZER
192.168.131.37,6917950791900,8346600,14010300,494182800,23329211400.0,APPLE
192.168.131.38,749458145400,121800,421800,11846700,56033700.0,OPENSIGNAL
192.168.131.39,2250832167000,979800,4247100,87097500,5010498600.0,SKINNY
192.168.131.4,18178097100,2400,4800,466200,1539600.0,HTTP
192.168.131.44,11649739500,89700,102300,7277400,86540400.0,SPOTIFY
192.168.131.46,144957160200,41400,103500,4384200,9467700.0,SSL
192.168.131.47,53242570500,710400,1746600,5762100,3794000400.0,SIMET
192.168.131.5,3869387386500,4584600,8834700,838511100,7577409300.0,IP_ICMP
192.168.131.6,7032269400,280500,534300,5273100,1272471900.0,APPLE_ICLOUD
192.168.131.7,2369289000,23700,52200,1175400,105896700.0,UBUNTUONE
192.168.131.9,75528671100,47700,185100,2573100,309286500.0,OPENSIGNAL
192.168.142.10,2302948249500,659700,772500,65228100,622137300.0,UBUNTUONE
192.168.142.11,1306843293000,707100,1471800,87330300,1957731000.0,ORACLE
192.168.142.12,3718749465600,695100,2118900,174853500,1955070000.0,WHOIS_DAS
192.168.142.14,41204294100,50400,104400,3853800,102415200.0,FACEBOOK
192.168.142.17,1240807570800,515400,981900,48330900,783732000.0,SKYPE
192.168.142.18,1898119513200,961800,2506800,334080300,2305478700.0,MSN
192.168.142.19,36110064600,7800,10500,737400,948600.0,TWITCH
192.168.142.20,744514767600,1115400,3357000,88101600,5032053000.0,POP3
192.168.142.210,8794887809400,7435500,10201800,772367700,15797851500.0,TWITTER
192.168.142.23,347073904200,210600,464100,25354800,471828000.0,POP3
192.168.142.29,6243821607300,3076200,14836200,329366400,18460872000.0,IP_ICMP
192.168.142.30,524463545100,2484900,3888600,181175100,5272805700.0,IMAP
192.168.142.32,251534460600,1222800,2712600,116006100,3045590100.0,MSN
192.168.142.36,671736860100,106500,181800,7177200,63546300.0,FACEBOOK
192.168.142.37,3268274064000,3320100,8374800,345880500,9474981900.0,BitTorrent
192.168.142.38,883926600,3300,3900,238800,3390600.0,MSSQL
